id_vivienda;latitud;longitud
CV-VUT0515544-A;38.848623581626;-0.152588272538
CV-VUT0514722-A;38.848327951901;-0.161662688554
CV-VUT0516929-A;38.84715846686;-0.150212505902
CV-VUT0511892-A;38.847157754398;-0.151146249916
CV-VUT0499270-A;38.87565576419;-0.169609235679
CV-VUT0500385-A;38.848623581626;-0.152588272538
CV-VUT0495557-A;38.847151761338;-0.150894457545
CV-VUT0491594-A;38.848296645492;-0.160904796869
CV-VUT0512032-A;38.848442197241;-0.16105969444
CV-VUT0432958-A;38.8478272;-0.1498871
CV-VUT0449612-A;38.8478272;-0.1498871
CV-VUT0511473-A;38.848623581626;-0.152588272538
CV-VUT0487889-A;38.847581166237;-0.162547901348
CV-VUT0481130-A;38.849763939553;-0.163007564919
CV-VUT0504150-A;38.850134252035;-0.161738880054
CV-VUT0459842-A;38.849559756391;-0.162260904984
CV-VUT0458612-A;38.850134252035;-0.161738880054
CV-VUT0461846-A;38.847893769316;-0.162599198596
CV-VUT0459747-A;38.875406570209;-0.171072883611
CV-VUT0466682-A;38.848291071527;-0.161283826531
CV-VUT0474020-A;38.847611089632;-0.161896711291
CV-VUT0474464-A;38.847262318641;-0.161691773758
CV-VUT0482580-A;38.847727681905;-0.161503935308
CV-VUT0483983-A;38.84731344825;-0.162453269662
CV-VUT0499107-A;38.846621983148;-0.152483750206
CV-VUT0494232-A;38.847160268969;-0.151245156373
CV-VUT0488321-A;38.847768347037;-0.148947151198
CV-VUT0514102-A;38.847430669166;-0.149671286414
CV-VUT0514101-A;38.847754126809;-0.149831548403
CV-VUT0517011-A;38.441005553324;-0.638127029239
CV-VUT0487758-A;38.4411703;-0.6395513
CV-VUT0431006-A;38.441635620986;-0.640235329345
CV-VUT0462858-A;38.414582567483;-0.610749302716
CV-VUT0458980-A;38.412311526545;-0.65094845119
CV-VUT0505245-A;38.439508796874;-0.638482589572
CV-VUT0505246-A;38.439508796874;-0.638482589572
CV-VUT0501322-A;38.436887109445;-0.638806931346
CV-VUT0491968-A;38.498599205924;-0.365951939933
CV-VUT0516745-A;38.502121445957;-0.365011599085
CV-VUT0519207-A;38.498756950022;-0.362287564372
CV-VUT0518626-A;38.4994282;-0.3627518
CV-VUT0491768-A;38.508992990109;-0.360827393139
CV-VUT0513223-A;38.498767846496;-0.362138953229
CV-VUT0439373-A;38.4994282;-0.3627518
CV-VUT0488529-A;38.500663874904;-0.362318074499
CV-VUT0491346-A;38.50008422439;-0.366446161813
CV-VUT0500825-A;38.508932396296;-0.363023198181
CV-VUT0492100-A;38.500687930966;-0.363958161494
CV-VUT0510611-A;38.499492168659;-0.366600388832
CV-VUT0486267-A;38.500671921531;-0.364019600844
CV-VUT0508307-A;38.499871449778;-0.362490657886
CV-VUT0481140-A;38.4994282;-0.3627518
CV-VUT0461177-A;38.498814324149;-0.362906903197
CV-VUT0459028-A;38.508608682784;-0.361132119019
CV-VUT0467988-A;38.503233473051;-0.364828789777
CV-VUT0475373-A;38.500829249854;-0.364744216374
CV-VUT0468745-A;38.50236439542;-0.365357604048
CV-VUT0478463-A;38.498654397437;-0.362734822725
CV-VUT0478686-A;38.5001291933;-0.366004603154
CV-VUT0503511-A;38.508992990109;-0.360827393139
CV-VUT0481173-A;38.499999064254;-0.362742534076
CV-VUT0500784-A;38.500968682813;-0.364286061546
CV-VUT0499897-A;38.503372822191;-0.363418534567
CV-VUT0496764-A;38.500022407854;-0.363280400803
CV-VUT0494202-A;38.508932396296;-0.363023198181
CV-VUT0497977-A;38.4994282;-0.3627518
CV-VUT0514895-A;38.49960205541;-0.3647817673
CV-VUT0487315-A;38.4994282;-0.3627518
CV-VUT0489578-A;38.4994282;-0.3627518
CV-VUT0422014-A;38.780973157278;-0.515586119385
CV-VUT0422015-A;38.780973157278;-0.515586119385
CV-VUT0422016-A;38.780973157278;-0.515586119385
CV-VUT0422017-A;38.780973157278;-0.515586119385
CV-VUT0422018-A;38.780973157278;-0.515586119385
CV-VUT0422019-A;38.780973157278;-0.515586119385
CV-VUT0504474-A;38.78162280274;-0.51541249713
CV-VUT0459073-A;38.778742062291;-0.516556827592
CV-VUT0517929-A;38.181965559806;-0.864487532929
CV-VUT0518250-A;38.181965559806;-0.864487532929
CV-VUT0461909-A;38.1808662;-0.8693316
CV-VUT0501198-A;38.184068914589;-0.86993945803
CV-VUT0513471-A;38.755290083939;-0.042464649325
CV-VUT0492782-A;38.756178691404;-0.05041371102
CV-VUT0491965-A;38.755660773607;-0.048125199996
CV-VUT0515057-A;38.772350525843;-0.006613656882
CV-VUT0519170-A;38.755674100833;-0.047942558326
CV-VUT0518084-A;38.760077072661;-0.036856988462
CV-VUT0518198-A;38.755218928064;-0.038084076768
CV-VUT0517928-A;38.7556793;-0.046652
