cp;cantidad_viviendas;plazas_totales;plazas_medias;superficie_total;superficie_media;num_municipios_distintos
12190;6;35;5;1257;209,5;1
12191;6;40;6;1109;184,833;1
12192;17;91;5;2114;132,125;1
12194;1;4;4;133;133;1
12200;3;20;6;404;134,667;1
12221;3;20;6;623;207,667;1
12222;6;40;6;1410;235;2
12223;5;22;4;781;156,2;1
12225;8;30;3;1689;211,125;2
12230;4;23;5;489;122,25;2
12231;5;24;4;359;89,75;1
12232;2;9;4;482;241;1
12300;51;274;5;8731;174,62;1
12310;4;17;4;1028;257;1
12311;3;18;6;784;261,333;2
12312;4;21;5;1756;439;2
12313;1;10;10;210;210;1
12315;2;14;7;236;118;1
12316;1;8;8;458;458;1
12317;1;4;4;247;247;1
12318;4;42;10;4473;1118,25;2
12319;2;10;5;172;86;1
12320;281;1233;4;31177;111,746;2
12330;4;18;4;322;107,333;1
12340;1;12;12;210;210;1
12350;4;41;10;1195;298,75;1
12360;7;43;6;1094;218,8;1
12400;25;122;4;5306;212,24;1
12410;11;70;6;1616;146,909;1
12412;2;15;7;126;126;1
12413;3;16;5;515;171,667;1
12414;14;70;5;2586;184,714;3
12415;3;18;6;288;96;2
12418;1;10;10;;;1
12428;16;69;4;2622;163,875;3
12429;2;4;2;168;168;2
12430;2;14;7;250;125;1
12431;4;26;6;514;128,5;1
12440;11;53;4;1354;123,091;1
12447;8;62;7;1499;187,375;1
12448;57;292;5;5417;95,035;1
12449;6;26;4;1403;233,833;2
12450;21;123;5;2603;123,952;1
12460;5;35;7;1226;245,2;1
12470;15;98;6;2521;168,067;1
12480;3;12;4;288;96;1
12489;1;10;10;190;190;1
12490;1;7;7;199;199;1
12499;1;5;5;117;117;1
12500;976;4857;4;108968;116,419;1
12510;5;24;4;746;149,2;1
12511;3;16;5;506;168,667;1
12512;1;4;4;258;258;1
12513;4;35;8;1053;263,25;1
12520;31;155;5;2636;85,032;1
12527;2;7;3;168;84;1
12528;13;65;5;1786;137,385;1
12529;2;12;6;300;150;1
12530;122;604;4;14989;123,876;1
12539;5;50;10;1032;206,4;1
12540;19;90;4;2419;127,316;1
12550;23;131;5;2453;106,652;1
12560;962;4924;5;119124;123,83;1
12570;1403;5954;4;140660;100,328;1
12578;7;34;4;1017;145,286;1
12579;746;3337;4;62621;83,942;1
12580;403;1878;4;36874;98,594;1
12589;13;92;7;2177;181,417;1
12590;22;103;4;2404;150,25;1
12591;57;253;4;6046;106,07;2
12592;74;346;4;9167;123,878;1
12593;326;1400;4;28775;88,812;1
12594;3090;13498;4;315948;106,38;2
12595;140;599;4;10449;111,16;1
12596;192;852;4;32294;169,968;1
12597;4;25;6;674;168,5;1
12598;2902;13007;4;441283;155,272;1
12599;7;37;5;964;137,714;1
12600;3;20;6;696;232;1
12609;1;6;6;190;190;1
30740;3;18;6;274;91,333;1
46000;2;6;3;3941;1970,5;1
46001;664;2290;3;63094;97,669;1
46002;196;732;3;17194;88,174;1
46003;417;1434;3;48210;116,731;1
46004;62;327;5;7826,36;126,232;1
46005;102;425;4;10186,89;99,871;1
46006;636;2309;3;48103,57;79,248;1
46007;353;1319;3;29147,38;87,007;1
46008;372;1251;3;179157,54;488,168;1
46009;313;1070;3;20282,17;68,061;1
46010;77;273;3;5674;83,441;1
46011;730;2661;3;60544,13;86;1
46012;68;354;5;6863;103,985;1
46013;216;676;3;225216,76;1286,953;1
46014;67;207;3;4064,67;64,519;1
46015;116;397;3;170231,77;1519,927;1
46016;10;48;4;1133;113,3;2
46017;71;206;2;4924,47;69,359;1
46018;163;557;3;11472,28;71,256;1
46019;78;209;2;4601,55;65,736;1
46020;41;173;4;3091;77,275;2
46021;205;773;3;17662,84;88,314;1
46022;425;1478;3;26258,6;70,969;1
46023;189;699;3;22607,3;128,451;1
46024;242;770;3;17845,2;78,613;1
46025;54;168;3;3533,41;73,613;1
46026;32;95;2;1424,37;50,87;1
46035;20;72;3;1844,47;102,471;1
46100;52;201;3;5515;106,058;1
46110;9;76;8;3055;339,444;1
46111;1;2;2;124;124;1
46112;1;10;10;313;313;1
46113;2;14;7;198;198;1
46114;1;5;5;241;241;1
46116;3;18;6;584;194,667;1
46117;15;103;6;2839;189,267;1
46118;27;174;6;4983;184,556;1
46119;14;82;5;3733;266,643;1
46120;447;2018;4;47800;107,175;1
46130;3;10;3;98;98;2
46131;2;12;6;691;345,5;1
46132;2;10;5;242;121;1
46133;3;22;7;778;259,333;1
46134;4;22;5;857;214,25;1
46135;2;8;4;173;86,5;2
46137;211;862;4;15179;76,662;1
46138;2;8;4;157;78,5;1
46139;7;46;6;851;170,2;1
46140;4;11;2;309;77,25;1
46141;4;16;4;1951;487,75;1
46142;2;14;7;416;208;1
46143;1;9;9;176;176;1
46146;2;14;7;304;152;1
46147;1;4;4;126;126;1
46149;11;65;5;2107;191,545;1
46160;44;242;5;7054;167,952;1
46162;8;33;4;601;75,125;2
46163;5;37;7;1039;207,8;1
46164;4;16;4;1062;265,5;1
46165;2;12;6;323;161,5;1
46166;2;10;5;223;111,5;1
46167;54;286;5;6660,47;133,209;1
46168;16;73;4;2539;158,688;2
46169;10;81;8;3063;340,333;1
46170;1;6;6;116;116;1
46171;8;48;6;1922;240,25;1
46172;1;8;8;189;189;1
46175;5;24;4;569;113,8;1
46176;11;68;6;1739;158,091;1
46177;3;17;5;1152;384;1
46178;17;96;5;4064;239,059;1
46179;1;6;6;103;103;1
46180;11;68;6;2350;213,636;1
46181;1;3;3;76;76;1
46182;24;154;6;5081;211,708;1
46183;44;314;7;10978;249,5;1
46184;11;73;6;2491;226,455;1
46185;12;80;6;2939;244,917;1
46187;1;14;14;429;429;1
46190;15;107;7;4300;286,667;1
46191;2;10;5;387;193,5;1
46192;7;44;6;1263;180,429;1
46193;10;67;6;2512;251,2;1
46195;4;28;7;1130;282,5;1
46196;9;67;7;2691;299;1
46197;3;17;5;447;149;1
46198;1;6;6;96;96;1
46199;4;28;7;690;172,5;1
46200;12;62;5;1374;114,5;1
46220;9;80;8;2818;313,111;1
46230;3;20;6;759;253;1
46260;6;46;7;8585;1430,833;1
46266;1;6;6;84;84;1
46269;2;16;8;528;264;1
46290;1;5;5;225;225;1
46293;2;13;6;376;188;1
46300;5;19;3;788;394;1
46310;6;36;6;899;149,833;1
46313;1;10;10;185;185;1
46314;1;12;12;212;212;1
46315;5;24;4;707;141,4;1
46317;1;4;4;83;83;1
46330;2;16;8;437;218,5;1
46340;45;231;5;5287;122,953;1
46350;2;18;9;1074;537;1
46352;1;7;7;108;108;1
46354;1;2;2;21;21;1
46355;3;28;9;729;243;1
46357;2;14;7;1036;518;1
46360;12;78;6;1632;148,364;1
46367;1;8;8;274;274;1
46368;11;68;6;2531;230,091;1
46369;3;18;6;610;203,333;1
46370;34;235;6;7562;222,412;1
46380;5;29;5;1134;226,8;1
46388;5;34;6;1871;374,2;1
46389;19;131;6;4715,56;261,976;2
46390;3;30;10;700;233,333;1
46392;10;76;7;2360;236;1
46400;1105;4758;4;95077;86,355;1
46406;1;10;10;;;1
46408;294;1411;4;34907;119,545;1
46409;34;219;6;6376;187,529;1
46410;152;812;5;18030;118,618;1
46417;3;10;3;347;115,667;1
46418;3;20;6;266;88,667;1
46419;52;268;5;4921;94,635;1
46420;69;372;5;7187;104,159;1
46439;1;6;6;153;153;1
46440;2;14;7;466;233;1
46450;2;12;6;372;186;1
46460;3;16;5;629;209,667;1
46470;28;130;4;3052;109;2
46500;92;480;5;11688;127,043;2
46501;2;10;5;204;102;1
46511;2;9;4;196;98;1
46512;6;31;5;720;120;1
46514;1;6;6;286;286;1
46515;1;6;6;395;395;1
46520;515;2723;5;57333;111,543;1
46529;569;2397;4;65600;115,29;1
46530;90;452;5;13751;152,789;2
46540;97;478;4;10092;105,125;1
46560;1;6;6;146;146;1
